rule_key,module,bucket,rawDistinctScenarioCount,surfacedDistinctScenarioCount,rawTotalFindingCount,surfacedTotalFindingCount,expectedMatchCount,unexpectedMatchCount,noisyMatchCount,mustNotFindViolationCount,sameSurfaceExtraCount,sameFileDifferentSignalCount,reviewOnlyCount,explainabilityGapCount,rawRegexOnlyCount,surfacedRegexOnlyCount,rawHybridCount,surfacedHybridCount,rawSemanticCount,surfacedSemanticCount,rawAstCount,surfacedAstCount,regexOnlyCount,hybridCount,semanticCount,astCount,rawRegexOnlyOnlyExercised,regexOnlyOnlyExercised,rawScenarios,surfacedScenarios,title,severity,finding_kind,family,language
guardian.fastly-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Fastly API Token,HIGH,SECRET,fastly-api-token,
guardian.finicity-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Finicity API Token,HIGH,SECRET,finicity-api-token,
guardian.finicity-client-secret,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Finicity Client Secret,HIGH,SECRET,finicity-client-secret,
guardian.finnhub-access-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Finnhub Access Token,HIGH,SECRET,finnhub-access-token,
guardian.flickr-access-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Flickr Access Token,HIGH,SECRET,flickr-access-token,
guardian.flutterwave-encryption-key,guardian,mixed_exercised,1,1,2,2,1,1,2,0,0,1,0,0,2,2,0,0,0,0,0,0,2,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Flutterwave Encryption Key,HIGH,SECRET,flutterwave-encryption-key,
guardian.flutterwave-public-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Flutterwave Public Key,HIGH,SECRET,flutterwave-public-key,
guardian.flutterwave-secret-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Flutterwave Secret Key,CRITICAL,SECRET,flutterwave-secret-key,
guardian.flyio-access-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Flyio Access Token,HIGH,SECRET,flyio-access-token,
guardian.frameio-api-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Frameio API Token,HIGH,SECRET,frameio-api-token,
guardian.freemius-secret-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Freemius Secret Key,CRITICAL,SECRET,freemius-secret-key,
guardian.freshbooks-access-token,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,Freshbooks Access Token,HIGH,SECRET,freshbooks-access-token,
guardian.gcp-api-key,guardian,expected_positive_exercised,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,true,true,G-V1-COV-104,G-V1-COV-104,GCP API Key,HIGH,SECRET,gcp-api-key,
guardian.generic-api-key,guardian,mixed_exercised,31,31,104,104,41,15,22,0,0,7,0,0,104,104,0,0,0,0,0,0,104,0,0,0,true,true,G-V1-CONFIG-004;G-V1-COV-102;G-V1-COV-103;G-V1-COV-104;G-V1-COV-106;G-V1-COV-110;G-V1-JAVA-001;G-V1-PY-002;G-V1-TS-003;G-V2-HIST-001;G-V2-HIST-002;G-V2-HIST-004;G-V2-HIST-005;G-V2-HIST-006;G-V2-HIST-007;G-V2-HIST-009;G-V2-HIST-014;G-V2-HIST-016;G-V2-HIST-017;M-V8-001;M-V8-002;M-V8-003;M-V8-004;M-V8-005;M-V8-006;M-V8-007;M-V8-008;M-V8-009;M-V8-010;M-V8-011;M-V8-012,G-V1-CONFIG-004;G-V1-COV-102;G-V1-COV-103;G-V1-COV-104;G-V1-COV-106;G-V1-COV-110;G-V1-JAVA-001;G-V1-PY-002;G-V1-TS-003;G-V2-HIST-001;G-V2-HIST-002;G-V2-HIST-004;G-V2-HIST-005;G-V2-HIST-006;G-V2-HIST-007;G-V2-HIST-009;G-V2-HIST-014;G-V2-HIST-016;G-V2-HIST-017;M-V8-001;M-V8-002;M-V8-003;M-V8-004;M-V8-005;M-V8-006;M-V8-007;M-V8-008;M-V8-009;M-V8-010;M-V8-011;M-V8-012,Generic API Key,MEDIUM,SECRET,generic-api-key,
