rule_key,module,bucket,distinctScenarioCount,totalFindingCount,expectedMatchCount,unexpectedMatchCount,noisyMatchCount,mustNotFindViolationCount,sameSurfaceExtraCount,sameFileDifferentSignalCount,reviewOnlyCount,explainabilityGapCount,regexOnlyCount,hybridCount,semanticCount,astCount,regexOnlyOnlyExercised,scenarios,title,severity,finding_kind,family,language
guardian.gitlab-pat-routable,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Pat Routable,HIGH,SECRET,gitlab-pat-routable,
guardian.gitlab-ptt,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Ptt,HIGH,SECRET,gitlab-ptt,
guardian.gitlab-rrt,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Rrt,HIGH,SECRET,gitlab-rrt,
guardian.gitlab-runner-authentication-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Runner Authentication Token,HIGH,SECRET,gitlab-runner-authentication-token,
guardian.gitlab-runner-authentication-token-routable,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Runner Authentication Token Routable,HIGH,SECRET,gitlab-runner-authentication-token-routable,
guardian.gitlab-scim-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Scim Token,HIGH,SECRET,gitlab-scim-token,
guardian.gitlab-session-cookie,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitlab Session Cookie,HIGH,SECRET,gitlab-session-cookie,
guardian.gitter-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gitter Access Token,HIGH,SECRET,gitter-access-token,
guardian.gocardless-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Gocardless API Token,HIGH,SECRET,gocardless-api-token,
guardian.grafana-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Grafana API Key,HIGH,SECRET,grafana-api-key,
guardian.grafana-cloud-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Grafana Cloud API Token,HIGH,SECRET,grafana-cloud-api-token,
guardian.grafana-service-account-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Grafana Service Account Token,HIGH,SECRET,grafana-service-account-token,
guardian.harness-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Harness API Key,HIGH,SECRET,harness-api-key,
guardian.hashicorp-tf-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Hashicorp Tf API Token,HIGH,SECRET,hashicorp-tf-api-token,
guardian.hashicorp-tf-password,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Hashicorp Tf Password,HIGH,SECRET,hashicorp-tf-password,
guardian.heroku-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Heroku API Key,HIGH,SECRET,heroku-api-key,
guardian.heroku-api-key-v2,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Heroku API Key V2,HIGH,SECRET,heroku-api-key-v2,
