rule_key,module,family,language,title,severity,finding_kind,source_of_truth,pack_display_name,bootstrap_resource,active
guardian.gitlab-ptt,guardian,gitlab-ptt,,Gitlab Ptt,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-rrt,guardian,gitlab-rrt,,Gitlab Rrt,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-runner-authentication-token,guardian,gitlab-runner-authentication-token,,Gitlab Runner Authentication Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-runner-authentication-token-routable,guardian,gitlab-runner-authentication-token-routable,,Gitlab Runner Authentication Token Routable,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-scim-token,guardian,gitlab-scim-token,,Gitlab Scim Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-session-cookie,guardian,gitlab-session-cookie,,Gitlab Session Cookie,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitter-access-token,guardian,gitter-access-token,,Gitter Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gocardless-api-token,guardian,gocardless-api-token,,Gocardless API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.grafana-api-key,guardian,grafana-api-key,,Grafana API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.grafana-cloud-api-token,guardian,grafana-cloud-api-token,,Grafana Cloud API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.grafana-service-account-token,guardian,grafana-service-account-token,,Grafana Service Account Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.harness-api-key,guardian,harness-api-key,,Harness API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.hashicorp-tf-api-token,guardian,hashicorp-tf-api-token,,Hashicorp Tf API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.hashicorp-tf-password,guardian,hashicorp-tf-password,,Hashicorp Tf Password,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
